"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YKS9346T","journalArticle","2012","Elliston, Ben; Diesendorf, Mark; MacGill, Iain","Simulations of scenarios with 100% renewable electricity in the Australian National Electricity Market","Energy Policy","","0301-4215","10.1016/j.enpol.2012.03.011","http://www.sciencedirect.com/science/article/pii/S0301421512002169","As a part of a program to explore technological options for the transition to a renewable energy future, we present simulations for 100% renewable energy systems to meet actual hourly electricity demand in the five states and one territory spanned by the Australian National Electricity Market (NEM) in 2010. The system is based on commercially available technologies: concentrating solar thermal (CST) power with thermal storage, wind, photovoltaic (PV), existing hydro and biofuelled gas turbines. Hourly solar and wind generation data are derived from satellite observations, weather stations, and actual wind farm outputs. Together CST and PV contribute about half of total annual electrical energy supply. A range of 100% renewable energy systems for the NEM are found to be technically feasible and meet the NEM reliability standard. The principal challenge is meeting peak demand on winter evenings following overcast days when CST storage is partially charged and sometimes wind speeds are low. The model handles these circumstances by combinations of an increased number of gas turbines and reductions in winter peak demand. There is no need for conventional base-load power plants. The important parameter is the reliability of the whole supply-demand system, not the reliability of particular types of power plants.","2012-06-01","2018-07-24 03:19:22","2018-07-24 03:19:22","2018-07-24 03:19:22","606-613","","","45","","Energy Policy","","","","","","","","","","","","","ScienceDirect","","","","C:\Users\user\Zotero\storage\8TB96TPU\Elliston et al. - 2012 - Simulations of scenarios with 100% renewable elect.pdf; C:\Users\user\Zotero\storage\SHT64TI3\S0301421512002169.html","","","100 per cent scenarios; Base-load; Renewable electricity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E5QPCHJN","journalArticle","2010","Connolly, D.; Lund, H.; Mathiesen, B. V.; Leahy, M.","A review of computer tools for analysing the integration of renewable energy into various energy systems","Applied Energy","","0306-2619","10.1016/j.apenergy.2009.09.026","http://www.sciencedirect.com/science/article/pii/S0306261909004188","This paper includes a review of the different computer tools that can be used to analyse the integration of renewable energy. Initially 68 tools were considered, but 37 were included in the final analysis which was carried out in collaboration with the tool developers or recommended points of contact. The results in this paper provide the information necessary to identify a suitable energy tool for analysing the integration of renewable energy into various energy-systems under different objectives. It is evident from this paper that there is no energy tool that addresses all issues related to integrating renewable energy, but instead the ‘ideal’ energy tool is highly dependent on the specific objectives that must be fulfilled. The typical applications for the 37 tools reviewed (from analysing single-building systems to national energy-systems), combined with numerous other factors such as the energy-sectors considered, technologies accounted for, time parameters used, tool availability, and previous studies, will alter the perception of the ‘ideal’ energy tool. In conclusion, this paper provides the information necessary to direct the decision-maker towards a suitable energy tool for an analysis that must be completed.","2010-04-01","2018-07-24 03:23:21","2018-07-24 03:23:21","2018-07-24 03:23:21","1059-1082","","4","87","","Applied Energy","","","","","","","","","","","","","ScienceDirect","","","","C:\Users\user\Zotero\storage\A8XDVL6V\Connolly et al. - 2010 - A review of computer tools for analysing the integ.pdf; C:\Users\user\Zotero\storage\XEEMZWNA\S0306261909004188.html","","","Energy models; Energy systems; Energy systems modelling; Energy tools; Renewable energy; Sustainable energy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76S54H2M","journalArticle","2014","Elliston, Ben; MacGill, Iain; Diesendorf, Mark","Comparing least cost scenarios for 100% renewable electricity with low emission fossil fuel scenarios in the Australian National Electricity Market","Renewable Energy","","0960-1481","10.1016/j.renene.2013.12.010","http://www.sciencedirect.com/science/article/pii/S0960148113006745","Policy makers face difficult choices in planning to decarbonise their electricity industries in the face of significant technology and economic uncertainties. To this end we compare the projected costs in 2030 of one medium-carbon and two low-carbon fossil fuel scenarios for the Australian National Electricity Market (NEM) against the costs of a previously published scenario for 100% renewable electricity in 2030. The three new fossil fuel scenarios, based on the least cost mix of baseload and peak load power stations in 2010, are: (i) a medium-carbon scenario utilising only gas-fired combined cycle gas turbines (CCGTs) and open cycle gas turbines (OCGTs); (ii) coal with carbon capture and storage (CCS) plus peak load OCGT; and (iii) gas-fired CCGT with CCS plus peak load OCGT. We perform sensitivity analyses of the results to future carbon prices, gas prices, and CO2 transportation and storage costs which appear likely to be high in most of Australia. We find that only under a few, and seemingly unlikely, combinations of costs can any of the fossil fuel scenarios compete economically with 100% renewable electricity in a carbon constrained world. Our findings suggest that policies pursuing very high penetrations of renewable electricity based on commercially available technology offer a cost effective and low risk way to dramatically cut emissions in the electricity sector.","2014-06-01","2018-07-24 03:23:25","2018-07-24 03:23:25","2018-07-24 03:23:25","196-204","","","66","","Renewable Energy","","","","","","","","","","","","","ScienceDirect","","","","C:\Users\user\Zotero\storage\JIP3MNVP\Elliston et al. - 2014 - Comparing least cost scenarios for 100% renewable .pdf; C:\Users\user\Zotero\storage\9BTMRCTG\S0960148113006745.html","","","100 percent Renewables; Carbon capture and storage; Low carbon scenarios","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UQM7IQDC","journalArticle","","Stringer, Naomi; Marshall, Luke; Passey, Rob; Bruce, Anna; MacGill, Iain","Open Source Model for Operational and Commercial Assessment of Local Electricity Sharing Schemes in the Australian National Electricity Market","","","","","","Local electricity sharing schemes have the potential to play an increased role in the Australian National Electricity Market as the penetration of distributed energy resources (DERs) continues to grow. These models allow participants to share energy between separately owned and operated DERs, however are largely untested. While embedded networks have generally been established for specific circumstances such as shopping centres and airports, there is growing interest in their wider application in providing a framework for local sharing of energy resources. However, the potential operational and commercial implications for key stakeholders (including consumers, network operators and retailers) are not well understood. An example of one such proposal is within the Byron Arts and Industrial Estate through which the community owned retailer, Enova, is seeking to offer a bespoke energy solution to its customers within the estate.","","2018-07-24 03:43:12","2018-07-24 03:43:12","","16","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\user\Zotero\storage\9DFJRL59\Stringer et al. - Open Source Model for Operational and Commercial A.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FF8W32PH","journalArticle","2014","Hesamzadeh, M.R.; Galland, O.; Biggar, D.R.","Short-run economic dispatch with mathematical modelling of the adjustment cost","International Journal of Electrical Power & Energy Systems","","01420615","10.1016/j.ijepes.2013.12.020","http://linkinghub.elsevier.com/retrieve/pii/S0142061513005450","In a typical liberalised wholesale power market, an optimisation process ensures the economically efﬁcient utilisation of the controllable resources every few minutes. But electricity networks are subject to constant shocks to the available generation, load, or transmission assets. The response to these shocks is through a variety of ad hoc mechanisms which do not involve an optimisation process and therefore cannot achieve economically efﬁcient utilisation of the available assets. But the higher the cost of responding to contingencies ex post the greater the need there is to distort the ex ante operation of the power system. In cases where the power system cannot respond at all to a particular contingency ex post, the power system must often be operated ex ante as though the contingency has already happened. This signiﬁcantly reduces the efﬁciency with which the available assets can be utilised ex ante. In this paper the concept of short-run economic dispatch is introduced and mathematically modelled. The concept of short-run economic dispatch is formulated through three stages: (1) the initial steadystate equilibrium, (2) transition to a new steady-state equilibrium, and (3) ﬁnal steady-state equilibrium. These three stages model the state of power system before, during, and after contingency occurred. The derived mathematical model is a linear programming problem. The approach is illustrated using the IEEE 24-node example system.","2014-06","2018-07-26 00:56:56","2018-07-26 00:56:56","2018-07-26 00:56:56","9-18","","","58","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\user\Zotero\storage\TFUPCMCG\Hesamzadeh et al. - 2014 - Short-run economic dispatch with mathematical mode.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YN834LCG","journalArticle","","Vytelingum, Perukrishnen; Ramchurn, Sarvapali D; Voice, Thomas D; Rogers, Alex; Jennings, Nicholas R","Trading agents for the smart electricity grid","","","","","","The vision of the Smart Grid includes the creation of intelligent electricity supply networks to allow efﬁcient use of energy resources, reduce carbon emissions and are robust to failures. One of the key assumptions underlying this vision is that it will be possible to manage the trading of electricity between homes and micro-grids while coping with the inherent real-time dynamism in electricity demand and supply. The management of these trades needs to take into account the fact that most, if not all, of the actors in the system are self-interested and transmission line capacities are constrained. Against this background, we develop and evaluate a novel marketbased mechanism and novel trading strategies for the Smart Grid. Our mechanism is based on the Continuous Double Auction (CDA) and automatically manages the congestion within the system by pricing the ﬂow of electricity. We also introduce mechanisms to ensure the system can cope with unforseen demand or increased supply capacity in real time. Finally, we develop new strategies that we show achieve high market efﬁciency (typically over 90%).","","2018-07-26 01:09:35","2018-07-26 01:09:35","","8","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\user\Zotero\storage\9G7ILDR2\Vytelingum et al. - Trading agents for the smart electricity grid.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C5JNI8JY","journalArticle","","Chand, Pramesh; Grozev, George","Modelling Australia’s National Electricity Market Using","","","","","","Modelling wholesale electricity markets is challenging because of the complex interactions and interdependencies between market participants, physical infrastructure, government regulations and increasing importance of environmental issues. This paper presents NEMSIM, an initiative by CSIRO’s Energy Transformed Flagship to develop an agent-based simulator to model the complexities in Australia’s National Electricity Market (NEM). The simulator allows modelling across major energy sectors (coal, gas, hydro, wind), accounting for Greenhouse Gas (GHG) emissions due to electricity generation. Users can develop and explore alternative scenarios with the help of a Scalable Vector Graphics (SVG) interface, XML configuration files, dynamic graphs and reporting capabilities. Simulating multiple scenarios with NEMSIM can maximise organisational benefits by exploring trading and investment opportunities, institutional changes, energy futures and market rules.","","2018-07-26 01:13:20","2018-07-26 01:13:20","","6","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\user\Zotero\storage\J2PEGIZX\Chand and Grozev - Modelling Australia’s National Electricity Market .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JX8TYSHN","journalArticle","2007","Thatcher, Marcus J.","Modelling changes to electricity demand load duration curves as a consequence of predicted climate change for Australia","Energy","","03605442","10.1016/j.energy.2006.12.005","http://linkinghub.elsevier.com/retrieve/pii/S0360544206003495","In this paper, we describe a method for constructing regional electricity demand data sets at 30 min intervals, which are consistent with climate change scenarios. Speciﬁcally, we modify a commonly used linear regression model between regional electricity demand and climate to also describe intraday variability in demand so that regional load duration curves (LDCs) can be predicted. The model is evaluated for four different Australian states that are participants in the Australian National Electricity Market (NEM) and the resultant data sets are found to reproduce each state’s LDCs with reasonable accuracy. We also apply the demand model to CSIRO’s Mk 3 global climate model data sets that have been downscaled to 60 km resolution using CSIRO’s conformal-cubic atmospheric model to estimate how LDCs change as a consequence of a 1 1C increase in the average temperature of Australian state capital cities. These regional electricity demand data sets are then useful for economic modelling of electricity markets such as the NEM.","2007-09","2018-07-26 01:19:32","2018-07-26 01:19:32","2018-07-26 01:19:32","1647-1659","","9","32","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\user\Zotero\storage\V7HB4MYZ\Thatcher - 2007 - Modelling changes to electricity demand load durat.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5GKMSLEI","journalArticle","","GROZEV, George; BATTEN, David; ANDERSON, Miles; LEWIS, Geoff; MO, John; KATZFEY, Jack","NEMSIM: Agent-based Simulator for Australia's National Electricity Market","","","","","","NEMSIM is an agent-based simulation model under development that represents Australia's National Electricity Market (NEM) as an evolving system of complex interactions between human behaviour in markets, technical infrastructures and the natural environment. Users of NEMSIM will be able to explore various evolutionary pathways of the NEM under different assumptions about trading and investment opportunities, institutional changes and technological futures – including alternative learning patterns as participants grow and change. The simulated outcomes will help the user to identify futures that are eco-efficient – e.g. maximising profits in a potentially carbonconstrained or environmentally regulated future. The NEMSIM project is part of CSIRO's Energy Transformed Flagship research program, which aims to provide innovative solutions for Australia's pressing energy needs. Motivation for the project is the Flagship's mission to develop low emission energy systems and technologies.","","2018-07-26 01:25:51","2018-07-26 01:25:51","","5","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\user\Zotero\storage\YMVJY67U\GROZEV et al. - NEMSIM Agent-based Simulator for Australia's Nati.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DKYHIDR2","journalArticle","","GROZEV, George; THATCHER, Marcus; SILVA, Per DA; CHAN, Wan Yee","SCENARIO MODELLING OF AUSTRALIA’S NATIONAL ELECTRICITY MARKET USING NEMSIM","","","","","","","","2018-07-26 01:33:47","2018-07-26 01:33:47","","3","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\user\Zotero\storage\JNHRPMIM\GROZEV et al. - SCENARIO MODELLING OF AUSTRALIA’S NATIONAL ELECTRI.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
